Start,End,X,Y,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Italy,France,1118.7184,661.22516,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,4288.0,3386.0,3228.0,5277.0,4695.0,4654.0,4462.0,4476.0,5181.0,3371.0,3448.0,2872.0,-1.0,-1.0,3394.0,-1.0,2863.0,3724.0,4274.0,4524.0,4724.0,4395.0,5043.0,4778.0,5583.0,6188.0,7819.0,9514.0,-1.0,324282.0,-1.0,373182.0,-1.0,343255.0,325933.0
Italy,Germany,1738.6813,753.7752,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,13668.0,11279.0,10926.0,26098.0,15735.0,16180.0,15514.0,17203.0,21407.0,10816.0,10805.0,9158.0,-1.0,-1.0,11413.0,-1.0,8677.0,12405.0,15524.0,13923.0,15330.0,8382.0,9140.0,8555.0,7650.0,8362.0,12055.0,13708.0,-1.0,349395.0,-1.0,415875.0,-1.0,578841.0,694514.0
Italy,Switzerland,1834.1658,359.62234,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,6737.0,5943.0,5278.0,6347.0,9079.0,10194.0,8900.0,9762.0,10449.0,4560.0,5149.0,6115.0,-1.0,-1.0,7416.0,-1.0,5595.0,7989.0,7345.0,6204.0,7168.0,4972.0,6539.0,5981.0,5895.0,6298.0,8968.0,10537.0,-1.0,262749.0,-1.0,274648.0,-1.0,273918.0,270077.0
Albania,Italy,1626.6428,212.43587,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,3577.0,21005.0,15223.0,-1.0,-1.0,32181.0,-1.0,25325.0,49524.0,39430.0,28588.0,23553.0,23470.0,36036.0,27737.0,22749.0,16724.0,14205.0,12279.0,-1.0,446571.0,-1.0,455468.0,-1.0,475196.0,486187.0
Germany,Italy,1906.1821,584.0653,-1.0,-1.0,-1.0,-1.0,-1.0,18500.0,15608.0,13505.0,13348.0,13198.0,12477.0,10733.0,9193.0,-1.0,9768.0,9466.0,7964.0,8995.0,-1.0,-1.0,10054.0,-1.0,14430.0,12622.0,15658.0,15208.0,14104.0,13562.0,11088.0,9502.0,8401.0,7555.0,6388.0,5872.0,-1.0,214330.0,-1.0,223883.0,-1.0,218158.0,211223.0
Morocco,Italy,1410.7471,631.2313,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,27897.0,11614.0,7818.0,-1.0,6068.0,5047.0,22761.0,15165.0,-1.0,-1.0,20344.0,-1.0,16307.0,41057.0,35035.0,26268.0,22184.0,23765.0,37632.0,33327.0,30198.0,24039.0,19624.0,19672.0,-1.0,424080.0,-1.0,432718.0,-1.0,450557.0,451960.0
Romania,Italy,1544.7178,643.2615,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,2507.0,6967.0,7087.0,-1.0,-1.0,19710.0,-1.0,17257.0,78814.0,67148.0,46006.0,40555.0,274007.0,175907.0,106352.0,92591.0,90136.0,80080.0,59347.0,-1.0,1016008.0,-1.0,1039584.0,-1.0,1074382.0,1048862.0
Ukraine,Italy,2387.3306,484.2954,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,452.0,437.0,-1.0,-1.0,2711.0,-1.0,3553.0,44195.0,37636.0,15863.0,14964.0,15836.0,24352.0,23016.0,30432.0,17917.0,11531.0,13076.0,-1.0,222938.0,-1.0,236420.0,-1.0,246367.0,248460.0
Kazakhstan,Germany,2320.5483,1159.8596,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,22520.0,17221.0,10299.0,2528.0,1848.0,1590.0,1339.0,-1.0,-1.0,-1.0,-1.0,-1.0,848587.0,-1.0,1020277.0,-1.0,940296.0,1128201.0
Kazakhstan,Russia,2777.8677,1264.6825,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,108724.0,94917.0,80052.0,45451.0,44215.0,38498.0,28228.0,37704.0,41159.0,30086.0,-1.0,-1.0,-1.0,-1.0,-1.0,2560269.0,-1.0,2562079.0,-1.0,2559711.0,2558907.0
